R_i_min,beta_legs,model_confidence_threshold,TCS_threshold,TP,FP,FN
70.000, 1.000, 90.000, 85.000, 16253.000, 5629.000, 35488.000
70.000, 1.000, 90.000, 90.000, 16249.000, 5620.000, 35492.000
70.000, 1.000, 90.000, 100.000, 16241.000, 5597.000, 35500.000
70.000, 1.000, 90.000, 200.000, 16056.000, 5222.000, 35685.000
70.000, 1.000, 90.000, 700.000, 14944.000, 3701.000, 36797.000
70.000, 1.000, 95.000, 1.000, 15089.000, 4279.000, 36652.000
70.000, 1.000, 95.000, 10.000, 15089.000, 4279.000, 36652.000
70.000, 1.000, 95.000, 20.000, 15088.000, 4274.000, 36653.000
70.000, 1.000, 95.000, 30.000, 15088.000, 4268.000, 36653.000
70.000, 1.000, 95.000, 40.000, 15086.000, 4258.000, 36655.000
70.000, 1.000, 95.000, 50.000, 15084.000, 4241.000, 36657.000
70.000, 1.000, 95.000, 60.000, 15081.000, 4223.000, 36660.000
70.000, 1.000, 95.000, 70.000, 15077.000, 4205.000, 36664.000
70.000, 1.000, 95.000, 75.000, 15077.000, 4200.000, 36664.000
70.000, 1.000, 95.000, 80.000, 15075.000, 4191.000, 36666.000
70.000, 1.000, 95.000, 85.000, 15074.000, 4186.000, 36667.000
70.000, 1.000, 95.000, 90.000, 15074.000, 4182.000, 36667.000
70.000, 1.000, 95.000, 100.000, 15073.000, 4170.000, 36668.000
70.000, 1.000, 95.000, 200.000, 14942.000, 3953.000, 36799.000
70.000, 1.000, 95.000, 700.000, 14111.000, 2980.000, 37630.000
70.000, 1.000, 100.000, 1.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 10.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 20.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 30.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 40.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 50.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 60.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 70.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 75.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 80.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 85.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 90.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 100.000, 2287.000, 54.000, 49454.000
70.000, 1.000, 100.000, 200.000, 2286.000, 54.000, 49455.000
70.000, 1.000, 100.000, 700.000, 2269.000, 54.000, 49472.000
